	MEP.1	MEP.2	MEP.3	MEP.4	MEP.5	MEP.6	MEP.7	MEP.8	MEP.9	MEP.10	MEP.11	MEP.12	MEP.13	MEP.14	MEP.15	MEP.16	MEP.17	MEP.18	MEP.19	MEP.20	MEP.21	MEP.22	MEP.23	MEP.24	MEP.25	MEP.26	MEP.27	MEP.28	MEP.29	MEP.30	MEP.31	MEP.32	MEP.33	MEP.34	MEP.35	MEP.36	MEP.37	MEP.38	MEP.39	MEP.40	MEP.41	MEP.42	MEP.43	MEP.44	MEP.45	MEP.46	MEP.47	MEP.48	MEP.49	MEP.50
Wdr75	6.70007669811685	8.39065900344199	1.39134453143144	9.91974085913368	6.88467379909357	7.33448878920618	2.83635649209324	8.34565134945394	6.77515180544768	7.37932912700818	7.44237219788292	8.74872634081695	8.34732021713802	8.61135277855172	2.16862867055146	8.92556516912359	3.15443324313626	8.90438054661465	2.86743889271557	5.96458051267508	6.36958723333979	7.77348829009948	6.46767259575867	3.86770362718688	9.52809416216699	5.32279400888726	9.06107210723358	1.9098454760789	9.19820624061247	8.15565469342757	9.83097774106591	8.94958786915527	1.06069379993623	8.35031990827125	9.41480405201619	8.2577542473195	8.10670706753257	9.53344505926728	1.44807909018325	6.91363184626047	6.19127448216352	8.53700831887269	2.09374498719985	7.5027599581341	10.049708046304	7.83563511714756	7.75093657037619	1.71181919971158	1.37031649521715	4.08167445465675
Slc17a9	7.64332752606723	0.0	8.24279710153854	0.0	1.12401418355325	0.0	8.30513396338347	0.669680256525218	0.0	0.0	1.48613034921511	0.0	0.334087062597004	0.6572325959489	1.9247713446545	0.265058522796752	1.57335930534259	6.62399602001363	0.0	0.890207491621803	0.444294584134292	0.0	1.43542888363066	0.0	1.36107039534917	0.418366921584183	0.0	1.25026081655982	0.0	5.90046246115389	1.09622889987536	0.0	0.0	3.66196000299371	0.0	7.22309890071247	2.31628234163535	0.0	0.0	2.90455390152689	0.445915133968274	7.01543773698715	1.0631685229994	1.97554947086102	1.30810291372617	6.80446872274209	5.3006727004448	4.08152316781676	0.612045052945247	0.914646549532655
Bivm	0.0	3.51606228597841	0.0	0.0	0.0	2.23312659891773	0.0	0.669680256525218	0.0	0.698956986510831	7.61137527873521	0.0	0.334087062597004	0.0	1.26206226688348	0.265058522796752	1.57335930534259	0.0	7.26203794077701	0.890207491621803	1.39117322692497	7.32842498902731	2.14053365570608	1.43282906670271	1.36107039534917	0.0	0.0	7.81859248269218	0.0	0.365029672476707	0.0	0.0	0.0	0.0	0.0	0.442903931711657	1.86933752889922	0.0	0.0	3.22365997638079	0.0	0.0	4.2041602411016	0.0	0.577298206453727	0.985733581736737	0.0	1.09617286156514	0.612045052945247	0.914646549532655
Vps35	7.88387491783677	9.52356649482458	6.77816174933264	8.4390734229157	9.65221783632512	6.13123963455532	8.08350154354964	8.76154470782842	7.75625922267224	9.62936889234495	8.64061307620526	9.11592651217308	9.4161578947068	9.1922416175461	9.30143147711627	5.596813723529	8.54102727591079	9.05714485191464	9.48157258977104	8.08955519003384	8.00191057476204	9.60010223700152	8.55028970459752	8.34719352816037	9.1075667630377	5.22236810259809	1.44645197867883	2.70384865891846	8.39330570925318	8.43546955575265	8.77469893921366	10.3762616231781	2.90988953380403	1.64136491496354	10.3766902049675	8.42395143692946	9.7270927353125	8.97874083495059	7.80158041723789	10.7784305029332	8.76330184588089	7.28890155564311	7.59875420154006	8.76747150255953	9.74674841121315	8.94866206359953	8.74758394781393	9.10185078618358	4.43353007769426	5.84917010482501
Slc18a1	0.0	0.0	0.0	0.0	0.837015126728841	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.16862867055146	0.0	2.30799301970087	0.0	0.0	0.890207491621803	0.239183335405525	0.0	0.0	0.0	3.38025037292595	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.952273439194551	0.0	0.0	0.0	0.0	0.0	0.0	0.559458523052089	0.0	0.450588387965346	0.0	0.0	0.0	0.0	0.0	0.0
Nek1	0.0	0.0	0.0	0.663197111593721	6.05875506726106	7.75280234348906	1.2417914337173	7.98097856002747	0.0	7.93132255829319	7.20761282971231	5.74030683400393	5.17704981512973	0.6572325959489	4.15223210944923	6.93086595477806	7.75742719802204	0.667346796438756	1.23235618902029	5.33121659994881	0.239183335405525	1.25270374980835	0.0	2.13734355867661	6.77141327132692	0.418366921584183	0.0	1.9098454760789	8.27478363318102	7.80818417901761	0.0	6.99556696031303	1.06069379993623	3.66196000299371	0.952273439194551	6.04527100177419	5.35066397689282	6.81398348024969	8.61969570374571	1.51282100717807	6.32763277134605	3.8343115397978	2.42171137254985	7.83240808437809	7.71170289220605	7.13139853198939	7.68357143905858	1.09617286156514	1.37031649521715	6.31785645664656
Fam107b	2.77626952659054	1.03142157953142	2.55328461353065	8.13505397488559	9.03861427715315	3.59747796872941	7.70368111888555	7.26120976087671	2.96032273751745	7.96410385986983	3.94588163722417	6.14083052220571	6.11419665215738	8.30410852984504	1.9247713446545	6.26744530151742	4.07105460175247	9.05395551791808	2.0527089019418	5.36148082786048	8.04194503930441	7.28431135270532	4.79211615625117	7.70300544382578	7.49055643626255	7.33511735847517	7.31952778069906	2.36079484234799	5.24889267259053	6.62352820850261	0.649822900537709	5.23000920007696	6.9634339363524	5.54137790422827	1.92780472125185	2.30821958557349	7.73668479887403	8.88388835248337	3.2693662763593	8.29160460394791	2.20844828423788	2.74083949038112	9.31824140606156	7.58218487722217	8.46076474165721	7.41443461223228	3.02626463787907	3.16431595219052	3.46467620608348	7.93834214343871
Pld3	0.0	0.605986074852305	0.0	3.8502519393961	0.478376714664572	1.15952539537348	0.750572242484882	0.0	0.692993620069485	0.0	5.17499085182241	0.815777312783049	7.22177766737181	0.0	0.764848598639104	5.6842913365173	1.57335930534259	1.74527963666374	0.0	1.43663377917079	0.0	1.62026437481744	0.649117408035887	2.96329364927602	1.36107039534917	7.73202737031347	0.0	0.0	1.32252291795169	0.365029672476707	7.3651410629166	0.0	8.01932602336685	0.0	1.52096965890189	6.77030913452147	1.21836199616517	7.9424956171643	0.898574153516471	2.23491508641476	2.31729160077396	0.0	0.0	0.0	0.0	0.985733581736737	4.01679258004865	1.09617286156514	0.612045052945247	1.86999831453164
Rab11fip4	1.11779955537274	0.0	0.0	0.0	0.478376714664572	0.0	0.0	2.65912158566361	0.0	0.0	0.926517836479793	0.0	0.0	0.6572325959489	0.0	0.265058522796752	1.57335930534259	0.667346796438756	0.0	0.0	0.623841567814932	0.0	1.43542888363066	0.0	2.04876416265555	0.418366921584183	1.44645197867883	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.442903931711657	1.21836199616517	6.52732342138439	0.898574153516471	0.946234883999621	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.5965665824776	0.0
Atp1b2	5.8072876470296	8.41292615662133	10.1616073760854	10.0373752932919	10.8725772242884	9.90828297398037	9.27610406552615	9.79196029766294	7.93046549315829	9.75384870414596	9.1802550079767	9.59082935976515	8.71696865325104	10.6144367362315	2.55933069456698	9.85381076891569	3.44358583433801	9.92399118332156	8.47358279027243	5.79754042350507	8.73234770544357	2.36418785713521	9.40699741062408	9.4327526898013	7.39965812853669	9.56784311833062	3.26706363181853	7.87051686062645	8.01779569740164	10.4013496297892	8.63095155578814	9.84592754724165	8.46288156201272	8.71658782993011	10.0565540335941	9.93533786416172	7.09102309547116	9.65332033769649	1.84505556649268	3.22365997638079	8.74879937411247	9.4090408680511	1.66858716687546	9.85017542917808	6.33472002676448	8.38503753622303	8.68319725377133	5.82668926810832	8.4868077452114	9.75041251555905
Ankrd6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.391399720994457	0.0	0.0	0.0	0.0	0.0	0.0	1.57335930534259	0.0	0.0	0.890207491621803	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.649822900537709	0.0	0.0	1.04250718511298	0.0	0.0	5.52707067508391	0.0	0.0	0.946234883999621	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.09617286156514	0.0	0.0
Wdr36	7.78017488980507	8.40406049421074	7.71696842326328	7.97695283954588	8.93000078089238	8.30771474757808	2.83635649209324	7.28326192072287	8.78554105807397	8.95125448800971	8.16247425905959	9.53352397932443	7.61215237364288	7.77562103417795	1.63113921857795	8.04217154751131	7.91926957556544	9.79334549074281	7.78476116967033	2.61368629240439	8.71635549632252	8.50507099054897	2.31540962880624	3.86770362718688	8.23185754751121	5.58790349065066	0.0	3.41304020394101	8.82912553957523	2.55935426936894	2.61371557192744	8.92899856407955	5.47370174696137	6.17006284264543	5.42865734321863	8.33202724910858	8.04281460799324	9.09919282560936	0.0	1.51282100717807	6.63154394649385	6.72371192288814	4.36536224055594	8.09283821313421	7.60271070023175	9.04819390631918	7.78639711817216	3.75665498741982	9.03380842396586	7.3640893612319
Zfp758	1.11779955537274	0.0	0.0	1.11581642625462	1.36328372303858	6.38659080565834	0.0	8.47343068577895	0.692993620069485	0.391399720994457	7.86093485476423	1.09785984561606	6.17789333215869	6.42336007057857	1.26206226688348	0.265058522796752	7.61927281054265	7.5320895141345	0.0	0.0	0.239183335405525	2.36418785713521	0.0	2.13734355867661	2.51254823086886	0.742288987970251	0.0	1.25026081655982	0.0	0.656099304823085	6.90587911396983	8.22038753025108	8.62641794022601	0.0	4.86034610515646	0.0	7.70950669452917	0.0	8.23720743696038	0.946234883999621	6.97256857815539	0.559458523052089	7.17807777432706	0.450588387965346	6.3522040303741	8.41435139472199	2.85869796564912	0.0	0.0	0.914646549532655
Gja1	2.50605063974892	6.77583921758618	7.23205820708957	1.11581642625462	7.62347501644186	6.79196636072114	5.45926709975719	7.50589438830128	1.51091320365075	7.15161955455771	7.76264041129826	4.57333750717592	1.95098122774646	5.98463253095799	2.16862867055146	6.78809634488236	2.30799301970087	2.7827221847431	0.925748288379185	6.35890703927265	1.05793262552848	1.91293782898103	4.49773523315264	9.02548665390221	2.86295276552314	7.31086841267999	2.15404506970566	1.9098454760789	4.97823970173899	1.59232873584365	7.24040548592045	7.09924627134779	2.09010928657547	2.06330016229068	1.52096965890189	8.42696715882452	7.32390018942731	1.4274093096839	0.898574153516471	2.23491508641476	0.445915133968274	6.30675691369448	2.09374498719985	5.95934780256111	1.30810291372617	1.97854711767802	6.31499979935281	1.09617286156514	2.0602360982802	3.835581307837
