	GMP.1	GMP.2	GMP.3	GMP.4	GMP.5	GMP.6	GMP.7	GMP.8	GMP.9	GMP.10	GMP.11	GMP.12	GMP.13	GMP.14	GMP.15	GMP.16	GMP.17	GMP.18	GMP.19	GMP.20	GMP.21	GMP.22	GMP.23	GMP.24	GMP.25	GMP.26	GMP.27	GMP.28	GMP.29	GMP.30	GMP.31	GMP.32	GMP.33	GMP.34	GMP.35	GMP.36	GMP.37	GMP.38	GMP.39	GMP.40	GMP.41	GMP.42	GMP.43	GMP.44	GMP.45	GMP.46	GMP.47	GMP.48	GMP.49	GMP.50
Bhlhb9	0.0	6.79307705254843	1.86247742563569	4.79959359568146	0.0	5.17270773407511	7.68458616750724	0.0	1.93263298941313	2.15044487801009	3.39932945788403	2.25313990813831	0.888424869007373	0.940698656006941	7.92205192066295	7.79666804647162	2.1791876041767	0.0	6.43632564518084	8.28276905613443	1.55825260022284	1.71632925101259	8.4765023829007	5.97539583301605	8.75734529507422	0.797420952418527	8.53101232886579	0.693987302944079	7.454837438949	1.67069859337895	3.77687542026584	8.20020190176405	6.14905760051921	1.37134564754711	0.0	1.02578236220062	5.62138760644515	8.37664034765465	5.36511664788862	4.13048434766899	0.0	0.828093827779662	1.92105525631768	0.661245788619251	0.0	0.0	6.78687156015921	6.05624825022039	2.33190921012446	0.77547603413465
Vcam1	0.0	0.573792624783881	0.730382501581066	7.5618485060474	0.553805582751331	0.743655904339326	0.0	0.0	0.64478157905425	0.653770365763334	0.0	0.810186844231269	0.511545932906333	0.0	0.0	0.0	1.74530460816018	4.15530397214889	0.612028177988144	0.0	0.0	0.0	0.0	0.782386900187965	1.12620636388176	0.797420952418527	0.831817853864619	1.16059555685387	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.723969739267883	0.822800858894956	1.8128972077372	0.0	1.02226873608716	0.331643362319327	9.22259667228759	0.0	0.559976732890676	0.0	1.68280990126173	0.796145382855203	0.0	0.0
Mns1	2.03086648185735	6.83688428047704	9.01050188006032	1.99396702477734	5.7263615289529	8.8859693168627	4.54435161641443	3.37564530545868	0.64478157905425	1.44351295627304	1.76034424987457	7.95055236847941	6.50118357155544	7.21948477379627	2.55368084066683	5.19080448315446	6.86146115850485	2.53736705924927	7.33660061421039	1.98807860872278	0.980014077278177	2.47819144910892	7.54729402852806	5.06172599197541	4.81789536030652	2.22957471218262	2.29267388063772	5.10259165436229	2.52710271759458	7.73347404722612	4.1561233748084	5.25494678024225	1.22989638206685	7.16832699404447	1.50878087466048	1.02578236220062	0.406928819038451	1.34350639868065	6.70116549792869	7.83046268500091	2.35739492826114	9.08744994919999	4.70503769361324	2.16629312239266	5.96928652596125	1.63507353557453	1.07400064026488	7.75026167120971	6.31608926812522	2.58069625770109
Tbc1d5	7.79236670342285	0.573792624783881	8.06569592934676	3.69301092783221	7.21793914350257	0.743655904339326	6.82545038688901	6.87922666135263	1.4278784207471	1.44351295627304	1.76034424987457	2.95994568796766	0.27832795920953	7.3593429616311	2.65013162974545	7.70096805583951	5.93056554305012	4.57441078117558	7.75882149252753	3.25253129214488	1.55825260022284	1.71632925101259	7.16990987196634	3.56066758538498	4.69151402590955	4.86015204030068	1.73975315292835	6.74487062667187	6.7696274853052	8.55686695954241	1.24717720355246	8.07706583757314	3.38107706465986	7.26080939852113	0.0	0.0	0.0	6.2102229732994	0.0	7.16197702904386	4.9006781828454	0.601118455940858	3.90062512346546	7.68010012019407	0.559976732890676	7.91970280629169	6.07287314581385	8.32141044441337	5.50404289072385	2.18864584503513
Wdr75	6.65162138249669	8.02434746971683	6.37026515730767	1.31710373466391	8.70555634076636	8.49909348551268	6.8159491398881	6.61353213410655	4.94792959250216	8.67656153288147	5.67648125180338	0.810186844231269	7.088742528787	1.25046826215613	1.14914610573727	1.14699603969501	6.31856969442202	8.90426106242426	6.95557650459146	5.58803828512141	2.55149713716025	6.86818827555191	6.93630620460794	7.59956386026576	7.84101775612398	6.85035774627719	4.05298397268541	1.16059555685387	7.03045645612739	5.16747816385074	6.53981430582784	5.85478584549191	1.22989638206685	7.30491842781199	6.31740608633277	7.69471712820979	6.24073445056183	6.01822122737503	0.0	1.90782505038583	6.90180465957006	1.024166589822	4.35818503078688	7.3862421044176	7.76325168706607	1.63507353557453	1.68280990126173	7.35540968819044	3.18101087892724	8.24553263667633
Slc17a9	0.825073691800591	6.8794004157834	0.0	0.0	0.0	0.743655904339326	4.34738158824703	0.0	0.0	1.10201904175974	6.10961133118478	2.64940153740273	6.66745154179626	8.13429706030512	0.0	0.934246481893767	1.12189611731354	0.0	1.63859542610367	1.31239887567389	5.48419645360277	0.817211916805725	1.34347500672802	5.94199434655757	6.0195542170982	8.48754195705862	6.03856608448234	5.27361495026561	0.793224186443406	6.72542741031269	6.01204651479097	2.42619639191319	1.22989638206685	6.29955172419117	0.0	1.02578236220062	0.723969739267883	0.0	0.0	5.96511311018907	0.0	6.79232919279884	8.18412135005949	5.75252743550559	6.65236520367512	2.05625427899824	0.0	6.59602879395327	2.33190921012446	6.00778247911414
Bivm	6.1064958684758	0.573792624783881	0.730382501581066	0.0	0.553805582751331	6.17966705249599	0.802781518971799	2.04490209165825	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.38253531271527	1.12189611731354	0.0	0.0	0.45510795650219	0.0	1.71632925101259	7.25950035187249	6.86041494872765	1.12620636388176	0.0	7.50114511807218	0.693987302944079	4.99021087351521	5.95752558919039	0.0	0.0	0.0	0.0	0.691741001338206	1.02578236220062	5.49156921652617	8.3222311553644	0.0	0.0	7.13134170253175	0.0	7.91098421695371	7.88561275758168	0.559976732890676	1.03774550821433	1.07400064026488	0.796145382855203	1.59328488474161	0.0
Vps35	6.3980691165285	6.30649933552757	8.22035213902392	7.65020185669939	7.33127399672683	7.59401002078586	9.11602976035667	7.58280896918918	2.95643413711112	8.77613165374848	7.9127267879549	1.70501160268052	8.17444046795293	7.93732073203605	7.56805500091073	4.12068882689822	2.1791876041767	7.52983793773727	6.46249493485846	1.84647233039849	7.34369609122156	7.08612099943176	3.1190391899402	9.15060954990551	7.70041886909713	6.75500444363344	7.07838991966009	2.41257539156837	7.39012189661964	4.20707271337611	7.70585337275232	7.72101559774688	9.54901219407813	7.83262309157134	6.33949556017761	2.85127518123829	9.22786968298024	4.03357575443809	6.14035696894753	6.61842245627277	9.08851063745097	8.78760534451701	7.3455913092785	7.66777703681671	4.8804272504075	9.22414783288735	7.31336054305702	8.52548659335709	1.59328488474161	7.44258202670943
Slc18a1	0.825073691800591	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.64478157905425	0.0	0.0	0.0	0.0	0.0	0.49153703882075	0.38253531271527	1.74530460816018	1.13836980847833	0.612028177988144	0.0	0.0	0.0	2.02688373027258	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.425933270541342	0.0	0.0	0.0	6.83545176579854	0.0	0.406928819038451	0.0	0.877998489585888	0.0	0.0	0.331643362319327	0.0	0.661245788619251	0.0	0.0	0.0	0.0	0.0	0.0
Nek1	0.0	0.983212587321725	0.0	0.0	4.40067252526351	7.10046828570181	0.0	0.0	1.4278784207471	0.0	1.13349432641161	0.810186844231269	0.0	4.43881147123323	0.857490531418402	0.0	3.91799860391682	3.82929505701967	6.41861195895172	0.0	0.0	1.71632925101259	2.02688373027258	0.0	2.18539716476267	0.797420952418527	8.89946336604019	0.0	0.0	1.67069859337895	7.06883436016789	2.42619639191319	3.98189974643113	3.3954338122556	0.691741001338206	5.33522606882816	0.723969739267883	0.822800858894956	0.877998489585888	7.81878513242953	1.61457841404594	5.58607955682419	2.7167712664292	0.0	0.559976732890676	1.63507353557453	8.7697509753363	0.796145382855203	5.22158351042941	4.43568781936098
